"cl010053426",1500,1600,"Département des Peintures","bois","peinture","religion/mythologie/magie/zodiaque","divinité/Trinité chrétienne","scène/culte/personnage chrétien","","","","","",""
"cl010053460",1495,1513,"Département des Peintures","bois (peuplier)","peinture","religion/mythologie/magie/zodiaque","divinité/Trinité chrétienne","","","","","","",""
"cl010053475",1460,1465,"Département des Peintures","fond d'or sur bois (peuplier)","peinture","","","","","","","","",""
"cl010053510",1300,1400,"Département des Peintures","fond d'or sur bois (peuplier)","peinture","","","","","","","","",""
"cl010053520",1700,1800,"Département des Peintures","toile","peinture","","","","","","","","",""
"cl010053583",1400,1500,"Département des Peintures","bois (peuplier)","peinture","","","","","","","","",""
"cl010053739",1480,1490,"Département des Peintures","fond d'or sur bois (peuplier)","peinture","","","","","","","","",""
"cl010053741",1465,"","Département des Peintures","fond d'or sur bois","peinture","","","","","","","","",""
"cl010053761",1360,1370,"Département des Peintures","fond d'or sur bois (peuplier)","peinture","","","","","","","","",""
"cl010053762",1506,"","Département des Peintures","toile","peinture","religion/mythologie/magie/zodiaque","divinité/Trinité chrétienne","créature démoniaque","","","","","",""
"cl010053778",1490,"","Département des Peintures","fond d'or sur bois (peuplier)","peinture","","","","","","","","",""
"cl010053783",1500,1600,"Département des Peintures","toile","peinture","","","","","","","","",""
"cl010053832",1400,1500,"Département des Peintures","fond d'or sur bois (peuplier)","peinture","","","","","","","","",""
"cl010053837",1300,1400,"Département des Peintures","fond d'or sur bois (peuplier)","peinture","","","","","","","","",""
"cl010053838",1400,1500,"Département des Peintures","bois (peuplier)","peinture","","","","","","","","",""
"cl010053854",1500,1600,"Département des Peintures","toile","peinture","religion/mythologie/magie/zodiaque","scène/culte/personnage chrétien","","","","","","",""
"cl010053875",1500,1600,"Département des Peintures","toile","peinture","","","","","","","","",""
"cl010053884",1500,1600,"Département des Peintures","toile","peinture","","","","","","","","",""
"cl010053895",1510,"","Département des Peintures","bois (peuplier)","peinture","","","","","","","","",""
"cl010054093",1600,1700,"Département des Peintures","bois","peinture","animal/plante/nature morte","nature morte","","","","","","",""
"cl010054100",1600,1700,"Département des Peintures","bois","peinture","animal/plante/nature morte","fleur/plante/fruit","","","","","","",""
"cl010054113",1600,1700,"Département des Peintures","huile sur bois","peinture","scène de genre/vie quotidienne/travail","scène de genre","","","","","","",""
"cl010054120",1600,1700,"Département des Peintures","huile sur toile","peinture","scène de genre/vie quotidienne/travail","scène de travail (commerce)","objet/instrument/mobilier/accessoire","","","","","",""
"cl010054128",1600,1700,"Département des Peintures","bois","peinture","guerre/combat/chasse","littérature/fantastique","scène/thème allégorique","","","","","",""
"cl010054132",1400,1500,"Département des Peintures","bois","peinture","religion/mythologie/magie/zodiaque","divinité/Trinité chrétienne","","","","","","",""
"cl010054155",1700,1800,"Département des Peintures","toile","peinture","portrait/personnage/nu","personnage féminin","","","","","","",""
"cl010054193",1600,1700,"Département des Peintures","toile","peinture","","","","","","","","",""
"cl010054242",1600,1700,"Département des Peintures","toile","peinture","","","","","","","","",""
"cl010054253",1600,1700,"Département des Peintures","bois","peinture","","","","","","","","",""
"cl010054258",1600,1700,"Département des Peintures","bois","peinture","","","","","","","","",""
"cl010054268",1600,1700,"Département des Peintures","bois","peinture","","","","","","","","",""
"cl010054270",1600,1700,"Département des Peintures","toile","peinture","","","","","","","","",""
"cl010054277",1600,1700,"Département des Peintures","toile","peinture","","","","","","","","",""
"cl010054280",1600,1700,"Département des Peintures","toile","peinture","","","","","","","","",""
"cl010054295",1600,1700,"Département des Peintures","bois","peinture","","","","","","","","",""
"cl010054297",1600,1700,"Département des Peintures","toile","peinture","","","","","","","","",""
"cl010054307",1600,1700,"Département des Peintures","toile","peinture","","","","","","","","",""
"cl010054313",1600,1700,"Département des Peintures","toile","peinture","","","","","","","","",""
"cl010054320",1600,1700,"Département des Peintures","toile","peinture","","","","","","","","",""
"cl010054321",1600,1700,"Département des Peintures","toile","peinture","","","","","","","","",""
"cl010054325",1600,1700,"Département des Peintures","toile","peinture","","","","","","","","",""
"cl010054330",1600,1700,"Département des Peintures","toile","peinture","","","","","","","","",""
"cl010054332",1600,1700,"Département des Peintures","bois","peinture","","","","","","","","",""
"cl010054334",1600,1700,"Département des Peintures","bois","peinture","","","","","","","","",""
"cl010054336",1600,1700,"Département des Peintures","toile","peinture","","","","","","","","",""
"cl010054341",1600,1700,"Département des Peintures","toile","peinture","","","","","","","","",""
"cl010054342",1600,1700,"Département des Peintures","huile sur toile","peinture","","","","","","","","",""
"cl010054386",1500,1600,"Département des Peintures","toile","peinture","","","","","","","","",""
"cl010054392",1600,1700,"Département des Peintures","bois","peinture","","","","","","","","",""
"cl010054403",1600,1700,"Département des Peintures","toile","peinture","","","","","","","","",""
"cl010054409",1600,1700,"Département des Peintures","bois","peinture","","","","","","","","",""
"cl010054415",1690,"","Département des Peintures","toile","peinture","","","","","","","","",""
"cl010054416",1683,"","Département des Peintures","toile","peinture","","","","","","","","",""
"cl010054445",1600,1700,"Département des Peintures","bois","peinture","","","","","","","","",""
"cl010054450",1600,1700,"Département des Peintures","bois","peinture","","","","","","","","",""
"cl010054457",1600,1700,"Département des Peintures","toile","peinture","","","","","","","","",""
"cl010054471",1600,1700,"Département des Peintures","toile","peinture","","","","","","","","",""
"cl010054642",1400,1500,"Département des Peintures","bois","peinture","religion/mythologie/magie/zodiaque","divinité/Trinité chrétienne","","","","","","",""
"cl010054675",1500,1600,"Département des Peintures","bois","peinture","portrait/personnage/nu","portrait","personnage masculin","","","","","",""
"cl010054687",1500,1600,"Département des Peintures","huile sur bois","peinture","religion/mythologie/magie/zodiaque","personnage mythologique","","","","","","",""
"cl010054688",1665,"","Département des Peintures","toile","peinture","paysage, phénomène naturel, élément du cosmos","paysage maritime","","","","","","",""
"cl010054693",1600,1700,"Département des Peintures","bois","peinture","religion/mythologie/magie/zodiaque","scène/culte/personnage biblique","","","","","","",""
"cl010054707",1500,1600,"Département des Peintures","huile sur bois","peinture","animal/plante/nature morte","religion/mythologie/magie/zodiaque","divinité/Trinité chrétienne","scène/culte/personnage biblique","fleur/plante/fruit","","","",""
"cl010054710",1600,1700,"Département des Peintures","bois","peinture","scène de genre/vie quotidienne/travail","scène de genre","","","","","","",""
"cl010054720",1657,"","Département des Peintures","toile","peinture","portrait/personnage/nu","portrait de groupe","","","","","","",""
"cl010054721",1690,"","Département des Peintures","métal (cuivre)","peinture","paysage, phénomène naturel, élément du cosmos","paysage maritime","","","","","","",""
